HOSPITAL,TYPEOFHOSP
OncoCare Cancer Centre,Cancer Specialist
The Cancer Centre,Cancer Specialist
Parkway Cancer Centre,Cancer Specialist
Mow Blood & Cancer Clinic,Cancer Specialist
St Andrew's Community Hospital,Specialist
St Luke's Hospital (Community),Specialist
Ren Ci Community Hospital(Comm,Specialist
Chew & Chew Dental Surgery Pte,Others
Q & M DENTAL CLINIC (CLEMENTI),Others
Specialist Dental Group,Others
Tooth Art Dental Centre Pte Lt,Others
ToothCraft Dental Surgeons,Others
De Pacific Dental Group (Pasir,Others
APPLE EAR NOSE THROAT SINUS AN,ENT
ASCENT Ear Nose Throat SG East,ENT
ASCENT Ear Nose Throat Special,ENT
CENTRE FOR EAR NOSE THROAT ALL,ENT
EAR NOSE & THROAT PARTNERS PTE,ENT
Ear Nose Throat & Snoring Cent,ENT
G Chee Ear Nose Throat Sinus &,ENT
HUANG EAR NOSE & THROAT SURGER,ENT
K O Chan Ear Nose Throat Sinus,ENT
Tampines GP ENT Pain Urology &,ENT
The Ear Nose Throat - Head & N,ENT
"YH Goh Ear Nose Throat, Head &",ENT
"EAR NOSE THROAT, HEAD & NECK",ENT
AMANDELA ENT HEAD & NECK CENTR,ENT
HN Tay ENT | Head&Neck |,ENT
Apple Eye Centre,Others
EAGLE EYE CENTRE PTE LTD (EEC),Others
Jerry Tan Eye Surgery Pte Ltd,Others
Snec Eye Associates,Others
The Eye & Cornea Transplant Ce,Others
Total Eye Care Centre,Others
Dr Natasha Lim Eye Center,Others
ASIA KIDNEY DIALYSIS CENTRE,Others
Centre For Kidney Diseases Pte,Others
Kidney Dialysis Center,Others
Kidney Therapy Centre Pte Ltd,Others
ARC KIDNEY DIALYSIS CENTRE,Others
Ambulatory SurgiCare (ASC),Others
Hospital Code (Conversion),Others
Silver Cross Family Clinic,Others
Simon Road Family Clinic,Others
K K Ho Clinic for Women,Others
Our Family Clinic & Surgery Pt,Others
Oversea Hospital,Oversea Hospital
ALEX OOI & ASSOCIATES OBYGYN C,Private Hospital
Ang Mo Kio - Thye Hua Kwan Ho,Private Hospital
Asia HealthPartners Pte Ltd,Private Hospital
Dr Joanna Lin's Medical And Ca,Private Hospital
EAST SHORE HOSPITAL,Private Hospital
East Shore Hospital,Private Hospital
Focus Medical Centre,Private Hospital
Fortis Colorectal Hospital,Private Hospital
Gleneagles Hospital,Private Hospital
Health & Fertility Centre for,Private Hospital
Jurong Medical Centre,Private Hospital
Kandang Kerbau Hospital (Inpat,Private Hospital
Kandang Kerbau Hospital (Outpa,Private Hospital
Mount Alvernia Hospital,Private Hospital
Mount Elizabeth Hospital,Private Hospital
Mount Elizabeth Novena Hospita,Private Hospital
Orthe Pte Ltd,Private Hospital
Other Private Medical Inst,Private Hospital
Pacific Healthcare Specialist,Private Hospital
Pacific Specialist Practice,Private Hospital
Parkway Shenton Pte Ltd,Private Hospital
Raffles Hospital,Private Hospital
Raffles Medical Group,Private Hospital
RafflesMedical,Private Hospital
SuperSight Lasik Centre,Private Hospital
Thomson Medical Centre,Private Hospital
Thomson Medical Pte. Ltd,Private Hospital
THOMSON PAEDIATRIC CENTRE,Private Hospital
THOMSON WOMEN CANCER CENTRE,Private Hospital
Tucker Medical,Private Hospital
Westpoint Family Hospital,Private Hospital
Westpoint Family Hospital Pte,Private Hospital
WOMEN'S CLINIC OF SINGAPORE,Private Hospital
Cheng Clinic For Women Pte Ltd,Private Hospital
Pristine Medical Clinic,Private Hospital
Alexandra Hospital (Outpatient,Private Hospital
Gleneagles (CGH Dengue Collab),Private Hospital
Alexandra Day Hospital,Public Hospital
Alexandra Hospital,Public Hospital
Changi General Hospital Pte Lt,Public Hospital
Changi Hospital (Outpatient),Public Hospital
JOHN HOPKINS SINGAPORE INTERNA,Public Hospital
Khoo Teck Puat Hospital,Public Hospital
National University Hospital,Public Hospital
National University Hospital (,Public Hospital
Other Govt Medical Institution,Public Hospital
Singapore General Hospital Pte,Public Hospital
Singhealth Polyclinic,Public Hospital
Tan Tock Seng Hospital (Inpati,Public Hospital
Tan Tock Seng Hospital (Outpat,Public Hospital
Institute of Mental Health/Woo,Public Specialist
National Cancer Centre,Public Specialist
National Dental Centre,Public Specialist
National Healthcare Group Poly,Public Specialist
National Skin Centre,Public Specialist
Singapore Medical Specialists,Public Specialist
Singapore National Eye Centre,Public Specialist
Singapore Oncology Consultants,Public Specialist
Singapore Sports and Orthopaed,Public Specialist
H L KONG MEDICAL ONCOLOGY CENT,Specialist
H L Kong Medical Oncology Pte,Specialist
Heah Colorectal Endoscopy and,Specialist
Ho Kok Sun Colorectal Pte Ltd,Specialist
Heah Endoscopy & Piles Centre,Specialist
Dermatology Associates,Specialist
JAMES TAN CENTRE FOR UROLOGY &,Specialist
Karmen Wong Medical Oncology C,Specialist
Nyam Endoscopy Centre,Specialist
Orthopaedic & Arthritis Centre,Specialist
Seow-Choen Colorectal Centre P,Specialist
The Oncology Centre,Specialist
The Dermatology Practice Skin.,Specialist
Medicare Associates,Specialist
Renal Therapy Centre Pte Ltd,Specialist
THE HARLEY STREET CLINIC HEART,Specialist
Gynecology Consultants Clinic,Specialist
Png Urology,Specialist
Specialist Skin Clinic(s) Pte,Specialist
Children & Adult Skin Hair,Specialist
The Oral Maxillofacial Practic,Specialist
Thomson Specialist Skin Centre,Specialist
P S Lui Clinic & Surgery for W,Surgery
Pacific Endoscopic & Day Surge,Surgery
ADVANCE SURGICAL GROUP PTE. LT,Surgery
AESTHETIC SURGICAL GROUP,Surgery
GS HONG SURGICAL CARE,Surgery
HK FAMILY CLINIC AND SURGERY P,Surgery
Lim Clinic & Surgery,Surgery
Novena Surgery,Surgery
Orchard Surgery Center,Surgery
Pacific Surgical and Endoscopy,Surgery
Specialist Surgery And Laser C,Surgery
Tan Teoh Clinic & Surgery,Surgery
The Breast Surgery Centre,Surgery
The Lasik Surgery Clinic,Surgery
The Vein Clinic & Surgery Pte,Surgery
THOMAS CLINIC & SURGERY,Surgery
Wee Breast & General Surgery P,Surgery
C K Yong Surgery & Breast Clin,Surgery
Yap & Ang Surgical Associates,Surgery
Healthwise Medical Clinic & Su,Surgery
